pid,title,price_ngn,price_raw,bedrooms,bathrooms,prop_type,location,area,lga,state,agent,features,date_added,url
9PKBQ,500sqm Residential Land,50000000.0,"₦ 50,000,000",,,Land,Beside Eleganza Iberekodo Ibeju Lekki Lagos,Beside Eleganza Iberekodo Ibeju,Lekki,Lagos,Besproperties,,06 Apr 2026,https://www.propertypro.ng/property/land-for-sale-beside-eleganza-iberekodo-ibeju-lekki-lagos-9PKBQ
0PNZK,Land,6800000.0,"₦ 6,800,000",,,Land,"Ketu Epe, Near Lagos State Logistics Park Epe Lagos","Ketu Epe, Near Lagos State Logistics Park",Epe,Lagos,Besproperties,,11 May 2026,https://www.propertypro.ng/property/land-for-sale-ketu-epe-near-lagos-state-logistics-park-epe-lagos-0PNZK
8PLBV,Newly Built 5 Bedroom Fully Detached Duplex,840000000.0,"₦ 840,000,000",5.0,5.0,House,Osapa London Lekki Lagos,Osapa London,Lekki,Lagos,OUTSTANDING REAL,,15 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-8PLBV
4PGLQ,"6,000 Smqs (2 Acres) Of Land",750000000.0,"₦ 750,000,000",,,Land,Jericho Main Road Ibadan Oyo,Jericho Main Road,Ibadan,Oyo,MrMideOseni Homes,,12 Mar 2026,https://www.propertypro.ng/property/land-for-sale-jericho-main-road-ibadan-oyo-4PGLQ
8PEPH,Newly Built 4 Bedroom Detached Duplex With A Bq,220000000.0,"₦ 220,000,000",4.0,4.0,House,Carlton Gate Estate Akobo Ibadan Oyo,Carlton Gate Estate Akobo,Ibadan,Oyo,MrMideOseni Homes,,25 Feb 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-carlton-gate-estate-akobo-ibadan-oyo-8PEPH
1PPBC,Newly Built 4 Bedroom Semi Detached Duplex With Bq,305000000.0,"₦ 305,000,000",4.0,4.0,House,Magodo Gra Phase 1 Ojodu Lagos,Magodo Gra Phase 1,Ojodu,Lagos,Sanrealtor,,12 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-magodo-gra-phase-1-ojodu-lagos-1PPBC
0PECN,400sqm Estate Land,70000000.0,"₦ 70,000,000",,,Land,After Nizamiye Hospital Karmo Abuja,After Nizamiye Hospital,Karmo,Abuja,TZ ESTATE,,21 Feb 2026,https://www.propertypro.ng/property/land-for-sale-after-nizamiye-hospital-karmo-abuja-0PECN
0PDXN,5 Bedroom Fully Detached Duplex,500000000.0,"₦ 500,000,000",5.0,6.0,House,Chevron Toll Gate Lekki Lagos,Chevron Toll Gate,Lekki,Lagos,Chrystal Abodes,Big Compound; 24 Hours Security; Pop Ceiling,19 Feb 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-toll-gate-lekki-lagos-0PDXN
3PFQM,3000 Capacity Event Centre,850000000.0,"₦ 850,000,000",,,Commercial Property,Jericho Aleshinloye Road Jericho Ibadan Oyo,Jericho Aleshinloye Road Jericho,Ibadan,Oyo,Openkeys business,,05 Mar 2026,https://www.propertypro.ng/property/commercial-property-for-sale-jericho-aleshinloye-road-jericho-ibadan-oyo-3PFQM
8PSJG,4 Bedroom Duplex,140000000.0,"₦ 140,000,000",4.0,5.0,Flat Apartment,Ikota Lekki Lagos,Ikota,Lekki,Lagos,GUDNESS REALITY,,10 Jun 2026,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-ikota-lekki-lagos-8PSJG
2NXBT,2 & 4 Bedroom Terrace Duplex,115000000.0,"₦ 115,000,000",4.0,,House,Orchid Lekki Lagos,Orchid,Lekki,Lagos,Purple Ribbon,,10 Dec 2025,https://www.propertypro.ng/property/house-for-sale-orchid-lekki-lagos-2NXBT
4PAQH,9 Units Of 2 Bedroom Flat,120000000.0,"₦ 120,000,000",2.0,,Flat Apartment,6th Avenue Gwarinpa Abuja,6th Avenue,Gwarinpa,Abuja,Purple Ribbon,,21 Jan 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-6th-avenue-gwarinpa-abuja-4PAQH
6PFNQ,3 Bedroom Bungalow + Bq,85000000.0,"₦ 85,000,000",3.0,3.0,House,Idera Scheme Ibeju Lekki Lagos,Idera Scheme Ibeju,Lekki,Lagos,Besproperties,Big Compound; 24 Hours Security; Pop Ceiling,05 Mar 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-idera-scheme-ibeju-lekki-lagos-6PFNQ
3PTRA,2bed,160000000.0,"₦ 160,000,000",2.0,2.0,House,Ikate Lekki Lagos,Ikate,Lekki,Lagos,New adventures,,20 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-ikate-lekki-lagos-3PTRA
1PBSE,6 Bedroom Detached Edifice,900000000.0,"₦ 900,000,000",6.0,6.0,House,Alimosho Lagos,Alimosho,Lagos,Lagos,First Colony,,31 Jan 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-alimosho-lagos-1PBSE
8NSUN,4 Bedroom Terrace Duplex With Basement,450000000.0,"₦ 450,000,000",4.0,4.0,House,Katampe Abuja,Katampe,Abuja,Abuja,TZ ESTATE,,27 Oct 2025,https://www.propertypro.ng/property/4-bedroom-house-for-sale-katampe-abuja-8NSUN
8PULR,5bed,980000000.0,"₦ 980,000,000",5.0,5.0,House,Ikate Lekki Lagos,Ikate,Lekki,Lagos,New adventures,,27 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-8PULR
2PNZX,2 Bedroom Apartment,330000000.0,"₦ 330,000,000",2.0,2.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,ITJ REALTOR,,11 May 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-2PNZX
6PPBA,Newly Built 5 Bedroom Detached Duplex With Bq,700000000.0,"₦ 700,000,000",5.0,5.0,House,Omole Phase 1 Ojodu Lagos,Omole Phase 1,Ojodu,Lagos,Sanrealtor,,12 May 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-omole-phase-1-ojodu-lagos-6PPBA
0PPCA,4 Bedroom Terrace Duplex,140000000.0,"₦ 140,000,000",4.0,4.0,House,Ajah Lagos,Ajah,Lagos,Lagos,ITJ REALTOR,,12 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-0PPCA
2PNDE,80% Completed 5 Bedroom Detached Duplex,450000000.0,"₦ 450,000,000",5.0,5.0,House,"Wuye Main, Wuye Abuja","Wuye Main,",Wuye,Abuja,TZ ESTATE,,05 May 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-wuye-main-wuye-abuja-2PNDE
4PNGC,300sqm Estate Plot,330000000.0,"₦ 330,000,000",5.0,5.0,Land,After Coza Guzape Abuja,After Coza,Guzape,Abuja,TZ ESTATE,,06 May 2026,https://www.propertypro.ng/property/5-bedroom-land-for-sale-after-coza-guzape-abuja-4PNGC
7PLFF,Contemporary 5 Bedroom Detached House,2400000000.0,"₦ 2,400,000,000",5.0,5.0,House,Ikoyi Lagos,Ikoyi,Lagos,Lagos,First Colony,,17 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-7PLFF
0PPBE,4 Bedroom Masionette With Bq,650000000.0,"₦ 650,000,000",4.0,4.0,House,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,Sanrealtor,,12 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-0PPBE
4PJUP,650sqm Land,500000000.0,"₦ 500,000,000",,,Land,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,First Colony,,03 Apr 2026,https://www.propertypro.ng/property/land-for-sale-lekki-phase-1-lekki-lagos-4PJUP
8PLVL,4 Bedroom Terrace Duplex,149000000.0,"₦ 149,000,000",4.0,,House,Sangotedo Lagos,Sangotedo,Lagos,Lagos,Landlord Hero,,22 Apr 2026,https://www.propertypro.ng/property/house-for-sale-sangotedo-lagos-8PLVL
0PGWQ,3 Bedroom Detached Duplex,550000000.0,"₦ 550,000,000",3.0,3.0,House,Agungi Lekki Lagos,Agungi,Lekki,Lagos,First Colony,,17 Mar 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-agungi-lekki-lagos-0PGWQ
7PKVD,Fenced And Gated 3 Plots Of Land,25000000.0,"₦ 25,000,000",,,Land,Odo Ona Kekere Ibadan Oyo,Odo Ona Kekere,Ibadan,Oyo,Openkeys business,,13 Apr 2026,https://www.propertypro.ng/property/land-for-sale-odo-ona-kekere-ibadan-oyo-7PKVD
4NZPG,Luxury 5 Bedroom Fully Detached Duplex,450000000.0,"₦ 450,000,000",5.0,5.0,House,Apo Resettlement Apo Abuja,Apo Resettlement,Apo,Abuja,Besproperties,Big Compound; Pop Ceiling; C Of O,12 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-apo-resettlement-apo-abuja-4NZPG
6NUYW,Newly Built 3 Bedroom Penthouse,1200000000.0,"₦ 1,200,000,000",3.0,3.0,Flat Apartment,Off Banana Island Road Ikoyi Lagos,Off Banana Island Road,Ikoyi,Lagos,PRINCE ADEMOLA,,19 Nov 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-off-banana-island-road-ikoyi-lagos-6NUYW
4PGJV,3 Bedroom Bungalow,55000000.0,"₦ 55,000,000",3.0,3.0,House,"Tomiwa Awe Avenue, Alegongo Akobo Ibadan Oyo","Tomiwa Awe Avenue, Alegongo Akobo",Ibadan,Oyo,MrMideOseni Homes,,12 Mar 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-tomiwa-awe-avenue-alegongo-akobo-ibadan-oyo-4PGJV
0PGVK,A Fenced And Gated 5 Plots Of Land,17000000.0,"₦ 17,000,000",,,Land,Felele Ibadan Oyo,Felele,Ibadan,Oyo,Openkeys business,,16 Mar 2026,https://www.propertypro.ng/property/land-for-sale-felele-ibadan-oyo-0PGVK
0PPDL,4 Bedroom Fully Detached Duplex,500000000.0,"₦ 500,000,000",4.0,4.0,House,Mabushi Mabushi Abuja,Mabushi,Mabushi,Abuja,Ademeso olalekan,,13 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-mabushi-mabushi-abuja-0PPDL
9PNSW,6 Bedroom Mansion,850000000.0,"₦ 850,000,000",6.0,6.0,House,"Efab Metropolis,gwarimpa Extension, Karsana West Karsana Abuja","Efab Metropolis,gwarimpa Extension, Karsana West",Karsana,Abuja,Ademeso olalekan,,09 May 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-efab-metropolisgwarimpa-extension-karsana-west-karsana-abuja-9PNSW
0PFKP,4 Units Of 4 Bedroom Duplex,120000000.0,"₦ 120,000,000",4.0,4.0,House,"Adeoyo Gra , Ringroad Ibadan Oyo","Adeoyo Gra , Ringroad",Ibadan,Oyo,Poly property,,04 Mar 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-adeoyo-gra-ringroad-ibadan-oyo-0PFKP
1NSYF,4 Bedroom Terraced Duplex,140000000.0,"₦ 140,000,000",4.0,4.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Perfect Images,,28 Oct 2025,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-1NSYF
