pid,title,price_ngn,price_raw,bedrooms,bathrooms,prop_type,location,area,lga,state,agent,features,date_added,url
3PMCD,4 Bedroom Semi Detached Duplex With Bq,450000000.0,"₦ 450,000,000",4.0,4.0,House,"Opebi, Ikeja Opebi Ikeja Lagos","Opebi, Ikeja Opebi",Ikeja,Lagos,PMNG Acquisitions,,24 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-opebi-ikeja-opebi-ikeja-lagos-3PMCD
7NVSX,4 Bedroom Terraced Duplex,140000000.0,"₦ 140,000,000",4.0,4.0,House,Gwarinpa Abuja,Gwarinpa,Abuja,Abuja,Mutu Daniel,,26 Nov 2025,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarinpa-abuja-7NVSX
7PTBX,4 Bedroom Detached Duplex With Bq,350000000.0,"₦ 350,000,000",4.0,5.0,House,Maryland Ikeja Maryland Ikeja Lagos,Maryland Ikeja Maryland,Ikeja,Lagos,PMNG Acquisitions,,16 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-maryland-ikeja-maryland-ikeja-lagos-7PTBX
9PRYB,Beautifully Furnished 2 Bedroom With Pool & Gym,300000000.0,"₦ 300,000,000",2.0,2.0,Flat Apartment,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,FRANK’s Villa,,06 Jun 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-9PRYB
4PSTJ,"350sqm Of Estate Land, Idu",21600000.0,"₦ 21,600,000",4.0,4.0,Land,Idu Abuja,Idu,Abuja,Abuja,BEVIKS REALTY,C Of O; Big Compound; 24 Hours Electricity,13 Jun 2026,https://www.propertypro.ng/property/4-bedroom-land-for-sale-idu-abuja-4PSTJ
7PQFZ,4 Bedroom Maisonette,850000000.0,"₦ 850,000,000",4.0,4.0,House,Mojisola Onikoyi Estate Ikoyi Lagos,Mojisola Onikoyi Estate,Ikoyi,Lagos,FRANK’s Villa,,22 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-mojisola-onikoyi-estate-ikoyi-lagos-7PQFZ
8NMPH,6 Bedroom Waterfront Detached Home,8000000000.0,"₦ 8,000,000,000",6.0,6.0,House,Banana Island Ikoyi Lagos,Banana Island,Ikoyi,Lagos,First Colony,Only on PropertyPro,08 Sep 2025,https://www.propertypro.ng/property/6-bedroom-house-for-sale-banana-island-ikoyi-lagos-8NMPH
5PTNA,4 Bedroom Semi Detached Duplex,400000000.0,"₦ 400,000,000",4.0,,House,Chevron Lekki Lagos,Chevron,Lekki,Lagos,Sac realty,,19 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-5PTNA
5PKSD,5 Bedroom Duplex,1000000000.0,"₦ 1,000,000,000",5.0,5.0,House,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,PECONS REALTORS,,12 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-5PKSD
0PRRU,Fully Furnished 2bedroom Apartment With Pool & Gym,110000000.0,"₦ 110,000,000",2.0,2.0,House,Inside A Well Secured Estate Located Before Chevron Traffic Lights Igbo Efon Lekki Lagos,Inside A Well Secured Estate Located Before Chevron Traffic Lights Igbo Efon,Lekki,Lagos,Oyewo Abiola,,04 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-inside-a-well-secured-estate-located-before-chevron-traffic-lights-igbo-efon-lekki-lagos-0PRRU
2PQLM,Luxury 3 Bedroom Apartment,1050000000.0,"₦ 1,050,000,000",3.0,3.0,Flat Apartment,Maitama Abuja,Maitama,Abuja,Abuja,Innerowrkings investments,Cctv Cameras; 24 Hours Security; Security,24 May 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-maitama-abuja-2PQLM
8NRFD,Luxurious 3 Bedroom Penthouse With Bq & Swimming Pool,1000000000.0,"₦ 1,000,000,000",3.0,3.0,Flat Apartment,Wuye Wuye Abuja,Wuye,Wuye,Abuja,Mutu Daniel,,12 Oct 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-wuye-wuye-abuja-8NRFD
6PLZU,Newly Built 4 Bedroom Terrace Duplex With Bq,350000000.0,"₦ 350,000,000",4.0,4.0,House,Jahi Abuja,Jahi,Abuja,Abuja,Starzij Realtors,Big Compound; Cctv Cameras; 24 Hours Security,23 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-jahi-abuja-6PLZU
7PRJV,Brand New 5bedroom Duplex With Swimming Pool,400000000.0,"₦ 400,000,000",5.0,5.0,Flat Apartment,Orchid Lekki Lagos,Orchid,Lekki,Lagos,Sac realty,Jacuzzi; Cctv Cameras; 24 Hours Security,02 Jun 2026,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-sale-orchid-lekki-lagos-7PRJV
9PQEY,2 Bedroom Duplex,110000000.0,"₦ 110,000,000",2.0,2.0,House,Lekki Scheme 2 Ajah Lagos,Lekki Scheme 2,Ajah,Lagos,Innerowrkings investments,Security Doors; C Of O; Big Compound,21 May 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-scheme-2-ajah-lagos-9PQEY
6PTNU,7 Bedroom Detached Duplex With Cinema + Gym+ Pool,1700000000.0,"₦ 1,700,000,000",7.0,7.0,House,Hampton Bay Estate Ikate Lekki Lagos,Hampton Bay Estate Ikate,Lekki,Lagos,Innerowrkings investments,Cctv Cameras; 24 Hours Security; Security,19 Jun 2026,https://www.propertypro.ng/property/7-bedroom-house-for-sale-hampton-bay-estate-ikate-lekki-lagos-6PTNU
8PHGU,4 Bedroom Terraced Duplex,299000000.0,"₦ 299,000,000",4.0,4.0,House,Akora Estate Adeniyi Jones Ikeja Lagos,Akora Estate Adeniyi Jones,Ikeja,Lagos,PMNG Acquisitions,Boys Quater,20 Mar 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-akora-estate-adeniyi-jones-ikeja-lagos-8PHGU
4NFZN,2 Bedroom Apartment With Bq,220000000.0,"₦ 220,000,000",2.0,,Flat / Apartment,Ikate Lekki Lagos,Ikate,Lekki,Lagos,Tugaris Realtor,Only on PropertyPro,18 Jul 2025,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-4NFZN
8PTJK,Newly Built 2 Bedroom Apartment With Smart Features,500000000.0,"₦ 500,000,000",2.0,2.0,Flat Apartment,Oniru Victoria Island Lagos,Oniru Victoria,Island,Lagos,Innerowrkings investments,Cctv Cameras; 24 Hours Security; Security,17 Jun 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-oniru-victoria-island-lagos-8PTJK
7PTPB,8 Units Of 2bedroom Flats (tarred Road),299000000.0,"₦ 299,000,000",10.0,10.0,House,Lokogoma Abuja Lokogoma Abuja,Lokogoma Abuja,Lokogoma,Abuja,Afrimax Properties,,19 Jun 2026,https://www.propertypro.ng/property/10-bedroom-house-for-sale-lokogoma-abuja-lokogoma-abuja-7PTPB
1PTXW,Luxury 4 Bedroom Semi Detached Duplex With Bq,360000000.0,"₦ 360,000,000",4.0,4.0,House,Alaka Estate Surulere Lagos,Alaka Estate,Surulere,Lagos,Innerowrkings investments,Security Doors; Cctv Cameras; 24 Hours Security,22 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-alaka-estate-surulere-lagos-1PTXW
3PPRU,2500 Square Metres Land,480000000.0,"₦ 480,000,000",,,Land,Alalubosa Gra Jericho Ibadan Oyo,Alalubosa Gra Jericho,Ibadan,Oyo,PECONS REALTORS,,17 May 2026,https://www.propertypro.ng/property/land-for-sale-alalubosa-gra-jericho-ibadan-oyo-3PPRU
4PUDV,17 Rooms Duplex With Guest Chalet And Bq,1290000000.0,"₦ 1,290,000,000",17.0,17.0,House,Utako Abuja,Utako,Abuja,Abuja,Afrimax Properties,Boys Quater,24 Jun 2026,https://www.propertypro.ng/property/17-bedroom-house-for-sale-utako-abuja-4PUDV
9PLZQ,5 Units Of 4 Bedroom Terrace Duplex With Bq,350000000.0,"₦ 350,000,000",4.0,4.0,House,Guzape Abuja,Guzape,Abuja,Abuja,Starzij Realtors,Big Compound; Cctv Cameras; 24 Hours Security,23 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-guzape-abuja-9PLZQ
2PSGU,Luxury 5 Bedroom Detached Duplex With Swimming Pool,450000000.0,"₦ 450,000,000",5.0,5.0,House,Hrc Estate Harris Drive Vgc Lekki Lagos,Hrc Estate Harris Drive Vgc,Lekki,Lagos,Innerowrkings investments,Security Doors; Governor's Consent; Cctv Cameras,09 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-hrc-estate-harris-drive-vgc-lekki-lagos-2PSGU
4PRJV,Brand New 5bedroom Duplex With Rooftop Swimming Pool,600000000.0,"₦ 600,000,000",5.0,5.0,Flat Apartment,Orchid Lekki Lagos,Orchid,Lekki,Lagos,Sac realty,Jacuzzi; Cctv Cameras; 24 Hours Security,02 Jun 2026,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-sale-orchid-lekki-lagos-4PRJV
7PNAJ,Land 676sqm,600000000.0,"₦ 600,000,000",,,Land,Opebi Ikeja Lagos,Opebi,Ikeja,Lagos,PECONS REALTORS,,04 May 2026,https://www.propertypro.ng/property/land-for-sale-opebi-ikeja-lagos-7PNAJ
7PSTK,500sqms Of Land Beside Idu Train Station,31600000.0,"₦ 31,600,000",5.0,5.0,Land,Idu Abuja,Idu,Abuja,Abuja,BEVIKS REALTY,Boys Quater,13 Jun 2026,https://www.propertypro.ng/property/5-bedroom-land-for-sale-idu-abuja-7PSTK
8PRXT,Fully Serviced 1 Bedroom With Pool & Gym For Sale,150000000.0,"₦ 150,000,000",1.0,1.0,Flat Apartment,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,FRANK’s Villa,,06 Jun 2026,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-8PRXT
9PQKV,Newly Built 4 Bedroom Semi Detached Duplex With Bq,270000000.0,"₦ 270,000,000",4.0,4.0,House,Ologolo Lekki Lagos,Ologolo,Lekki,Lagos,Innerowrkings investments,Security Doors; C Of O; Governor's Consent,23 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-9PQKV
5PRZA,Newly Renovated 2bedroom Apartment In Sangotedo,60000000.0,"₦ 60,000,000",2.0,2.0,House,Value County Estate Sangotedo Ajah Lagos,Value County Estate Sangotedo,Ajah,Lagos,Oyewo Abiola,,06 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-value-county-estate-sangotedo-ajah-lagos-5PRZA
9NXMD,4 Bedroom Bungalow With 2 Units Of 1 Bedroom Flat,200000000.0,"₦ 200,000,000",4.0,4.0,House,"Carlton Gate Estate, Akobo Ibadan Oyo","Carlton Gate Estate, Akobo",Ibadan,Oyo,PECONS REALTORS,,15 Dec 2025,https://www.propertypro.ng/property/4-bedroom-house-for-sale-carlton-gate-estate-akobo-ibadan-oyo-9NXMD
0PLZZ,Newly Built 4 Bedroom Detached Duplex With Bq,300000000.0,"₦ 300,000,000",4.0,4.0,House,Karsana Abuja,Karsana,Abuja,Abuja,Starzij Realtors,Cctv Cameras; 24 Hours Security; Security,23 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-karsana-abuja-0PLZZ
1PGRY,4 Bedroom Duplex With Swimming Pool,300000000.0,"₦ 300,000,000",4.0,4.0,House,Old Bodija Estates Bodija Ibadan Oyo,Old Bodija Estates Bodija,Ibadan,Oyo,PECONS REALTORS,,15 Mar 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-old-bodija-estates-bodija-ibadan-oyo-1PGRY
2PRJH,Primed 600sqm Residential Plot With Payment Plan,390000000.0,"₦ 390,000,000",,,Land,Victoria Garden City Vgc Lekki Lagos,Victoria Garden City Vgc,Lekki,Lagos,Innerowrkings investments,,02 Jun 2026,https://www.propertypro.ng/property/land-for-sale-victoria-garden-city-vgc-lekki-lagos-2PRJH
2PTPN,6 Bedroom Detached Duplex With Excellent Finishing,480000000.0,"₦ 480,000,000",6.0,6.0,House,Dakwo Abuja,Dakwo,Abuja,Abuja,Innerowrkings investments,Big Compound; 24 Hours Security; Security,19 Jun 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-dakwo-abuja-2PTPN
9PSEJ,6 Bedroom Semi Detached Duplex With Swimming Pool,750000000.0,"₦ 750,000,000",6.0,6.0,House,Hampton Bay Estate Ikate Lekki Lagos,Hampton Bay Estate Ikate,Lekki,Lagos,Innerowrkings investments,Cctv Cameras; 24 Hours Security; Security,09 Jun 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-hampton-bay-estate-ikate-lekki-lagos-9PSEJ
1PSLP,Newly Built 5 Bedroom Duplex,220000000.0,"₦ 220,000,000",5.0,5.0,House,Trans Ekulu Enugu Enugu,Trans Ekulu,Enugu,Enugu,Uchay properties,Newly Built; Furnished; Only on PropertyPro,11 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-trans-ekulu-enugu-enugu-1PSLP
8PAKA,4 Bedroom Terraced Duplex With 1 Bq,360000000.0,"₦ 360,000,000",4.0,4.0,House,Wuye Abuja,Wuye,Abuja,Abuja,Mutu Daniel,Boys Quater,19 Jan 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-wuye-abuja-8PAKA
1NRRS,Land 720 Sqm,48000000.0,"₦ 48,000,000",,,Land,Akobo Ibadan Oyo,Akobo,Ibadan,Oyo,PECONS REALTORS,,15 Oct 2025,https://www.propertypro.ng/property/land-for-sale-akobo-ibadan-oyo-1NRRS
5PULD,50 Rooms Hotels,600000000.0,"₦ 600,000,000",,,Commercial Property,Egbeda Alimosho Lagos,Egbeda,Alimosho,Lagos,PECONS REALTORS,,26 Jun 2026,https://www.propertypro.ng/property/commercial-property-for-sale-egbeda-alimosho-lagos-5PULD
1PKQG,2 Storey Commercial Building,1000000000.0,"₦ 1,000,000,000",,,Commercial Property,Secretariat Bodija Ibadan Oyo,Secretariat Bodija,Ibadan,Oyo,PECONS REALTORS,,11 Apr 2026,https://www.propertypro.ng/property/commercial-property-for-sale-secretariat-bodija-ibadan-oyo-1PKQG
5PRUN,Furnished 4 Bedroom Terrace Duplex For Sale,750000000.0,"₦ 750,000,000",4.0,4.0,House,Oniru Victoria Island Lagos,Oniru Victoria,Island,Lagos,FRANK’s Villa,,05 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-oniru-victoria-island-lagos-5PRUN
3PTGZ,Newly Built 4 Bedroom Apartment,400000000.0,"₦ 400,000,000",4.0,4.0,Flat Apartment,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,PMNG Acquisitions,,17 Jun 2026,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-3PTGZ
1PAVW,6 Bedroom Semi Detached Duplex With 1 Bq,265000000.0,"₦ 265,000,000",6.0,6.0,House,Apo Dutse Abuja,Apo,Dutse,Abuja,Mutu Daniel,Boys Quater,22 Jan 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-apo-dutse-abuja-1PAVW
0PQBK,5 Bedroom Detached Duplex With Bq,750000000.0,"₦ 750,000,000",5.0,,House,Adeniyi Jones Ikeja Lagos,Adeniyi Jones,Ikeja,Lagos,PMNG Acquisitions,Boys Quater,21 May 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-0PQBK
2PLQA,4 Bedroom Masionette,420000000.0,"₦ 420,000,000",4.0,,House,Adeniyi Jones Ikeja Lagos,Adeniyi Jones,Ikeja,Lagos,PMNG Acquisitions,Governor's Consent; Gym; Big Compound,20 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-2PLQA
0PHST,4 Bedroom Duplex With Swimming Pool,300000000.0,"₦ 300,000,000",4.0,4.0,House,Off Awolowo Road Old Bodija Estates Bodija Ibadan Oyo,Off Awolowo Road Old Bodija Estates Bodija,Ibadan,Oyo,PECONS REALTORS,,24 Mar 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-awolowo-road-old-bodija-estates-bodija-ibadan-oyo-0PHST
3PKNC,"4 Bedroom Terrace Duplex+bq, Solar Inverter",300000000.0,"₦ 300,000,000",4.0,4.0,House,Opebi Ikeja Lagos,Opebi,Ikeja,Lagos,PMNG Acquisitions,,10 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-opebi-ikeja-lagos-3PKNC
0NXCZ,5 Bedroom Terrace Duplex With Bq,550000000.0,"₦ 550,000,000",5.0,5.0,House,Maitama Abuja,Maitama,Abuja,Abuja,Mutu Daniel,All Room Ensuit; Boys Quater,10 Dec 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-maitama-abuja-0NXCZ
0NRFE,2 Bedroom Apartment For Sale,45000000.0,"₦ 45,000,000",2.0,2.0,Flat Apartment,Apo Wumba Apo Abuja,Apo Wumba,Apo,Abuja,Mutu Daniel,,12 Oct 2025,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-apo-wumba-apo-abuja-0NRFE
2PSTJ,200sqm Of Land Beside Idu Train Station,12600000.0,"₦ 12,600,000",3.0,3.0,Land,Idu Abuja,Idu,Abuja,Abuja,BEVIKS REALTY,C Of O; Big Compound; 24 Hours Security,13 Jun 2026,https://www.propertypro.ng/property/3-bedroom-land-for-sale-idu-abuja-2PSTJ
4PRQG,"6 Bedroom Duplex With Elevator, 2bq, Cinema & Gym",1400000000.0,"₦ 1,400,000,000",6.0,6.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,Oyewo Abiola,,03 Jun 2026,https://www.propertypro.ng/property/6-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4PRQG
2PTPC,5 Bedroom Detached Duplex With Swimming Pool,450000000.0,"₦ 450,000,000",5.0,,House,Chevron Lekki Lagos,Chevron,Lekki,Lagos,Sac realty,,19 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-2PTPC
4PQBK,3 Bedroom Apartment With Bq,699000000.0,"₦ 699,000,000",3.0,3.0,Flat Apartment,Shonibare Estate Maryland Lagos,Shonibare Estate,Maryland,Lagos,PMNG Acquisitions,Gym; Parking Space; Swimming Pool,21 May 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-shonibare-estate-maryland-lagos-4PQBK
3PTGP,4 Bedroom Duplex With Ai Assited Cctv,425000000.0,"₦ 425,000,000",4.0,4.0,House,Aerodrome Gra Samonda Ibadan Oyo,Aerodrome Gra Samonda,Ibadan,Oyo,PECONS REALTORS,,17 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-aerodrome-gra-samonda-ibadan-oyo-3PTGP
6PLWR,Newly Built 4 Bedroom Terraced Duplex With Bq,400000000.0,"₦ 400,000,000",4.0,4.0,House,Wuye Abuja,Wuye,Abuja,Abuja,Starzij Realtors,C Of O; Cctv Cameras; 24 Hours Security,22 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-wuye-abuja-6PLWR
7NHKJ,3 Bedroom Apartment With Bq,400000000.0,"₦ 400,000,000",3.0,3.0,Flat Apartment,Gra Ikeja Gra Ikeja Lagos,Gra Ikeja Gra,Ikeja,Lagos,PECONS REALTORS,,30 Jul 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-gra-ikeja-gra-ikeja-lagos-7NHKJ
5PLZL,5 Bedroom Detached Bungalow,280000000.0,"₦ 280,000,000",5.0,5.0,House,Life Camp Abuja,Life,Camp,Abuja,Starzij Realtors,Big Compound; Cctv Cameras; 24 Hours Security,23 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-life-camp-abuja-5PLZL
6PTQM,New 5bedroom Duplex With A Bq,479000000.0,"₦ 479,000,000",5.0,6.0,House,"Galadimawa By Sunnyvale Axis, Galadimawa, Abuja Galadimawa Abuja","Galadimawa By Sunnyvale Axis, Galadimawa, Abuja",Galadimawa,Abuja,Afrimax Properties,Boys Quater,20 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-galadimawa-by-sunnyvale-axis-galadimawa-abuja-galadimawa-abuja-6PTQM
9NXGW,5 Bedroom Fully Detached Duplex With 2 Bq,800000000.0,"₦ 800,000,000",5.0,5.0,House,Jabi Abuja,Jabi,Abuja,Abuja,Mutu Daniel,,12 Dec 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-jabi-abuja-9NXGW
9PNXC,4 Bedroom Detached Duplex,220000000.0,"₦ 220,000,000",4.0,4.0,House,Ikolaba Estate Bodija Ibadan Oyo,Ikolaba Estate Bodija,Ibadan,Oyo,PECONS REALTORS,,11 May 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikolaba-estate-bodija-ibadan-oyo-9PNXC
6PSEM,Brand 4bedroom Terrace Duplex With Swimming Pool,350000000.0,"₦ 350,000,000",4.0,4.0,Flat Apartment,Osapa London Lekki Lagos,Osapa London,Lekki,Lagos,Sac realty,Jacuzzi; Cctv Cameras; 24 Hours Security,09 Jun 2026,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-osapa-london-lekki-lagos-6PSEM
9PTNA,Decent 2bedroom Flat,49900000.0,"₦ 49,900,000",2.0,2.0,Flat Apartment,"Kabusa Gardens Estate, Galadimawa Dakwo, Abuja Galadimawa Abuja","Kabusa Gardens Estate, Galadimawa Dakwo, Abuja",Galadimawa,Abuja,Afrimax Properties,,19 Jun 2026,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-kabusa-gardens-estate-galadimawa-dakwo-abuja-galadimawa-abuja-9PTNA
9PKMV,3 Bedroom Apartment,157500000.0,"₦ 157,500,000",3.0,3.0,Flat Apartment,Dideolu Court Ogba Gra Ogba Lagos,Dideolu Court Ogba Gra,Ogba,Lagos,PMNG Acquisitions,,10 Apr 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-dideolu-court-ogba-gra-ogba-lagos-9PKMV
1PKMR,5 Bedroom Detached Duplex With Bq,700000000.0,"₦ 700,000,000",5.0,5.0,House,Omole Phase 1 Ojodu Lagos,Omole Phase 1,Ojodu,Lagos,PMNG Acquisitions,,10 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-omole-phase-1-ojodu-lagos-1PKMR
1PSTH,5 Bedroom Fully Detached Duplex + Bq,750000000.0,"₦ 750,000,000",5.0,5.0,House,Guzape Abuja,Guzape,Abuja,Abuja,BEVIKS REALTY,Only on PropertyPro,13 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-guzape-abuja-1PSTH
6PMAA,5 Bedroom Detached Duplex With Bq,1200000000.0,"₦ 1,200,000,000",5.0,,House,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,PMNG Acquisitions,Boys Quater,23 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-6PMAA
2PTHW,Well Finished 3 Bedroom Apartment With Bq,400000000.0,"₦ 400,000,000",3.0,,Flat Apartment,Ikeja Gra Ikeja Lagos,Ikeja Gra,Ikeja,Lagos,PMNG Acquisitions,Swimming Pool; Elevator; Boys Quater,17 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-2PTHW
9PRQG,"5 Bedroom Fully Detached Duplex At Chevron, Lekki",420000000.0,"₦ 420,000,000",5.0,5.0,House,Chevron Lekki Lagos,Chevron,Lekki,Lagos,Oyewo Abiola,,03 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-9PRQG
4PADW,7 Bedroom Fully Detached Duplex With Bq,3500000000.0,"₦ 3,500,000,000",7.0,7.0,House,Maitama Abuja,Maitama,Abuja,Abuja,Mutu Daniel,All Room Ensuit; Boys Quater,17 Jan 2026,https://www.propertypro.ng/property/7-bedroom-house-for-sale-maitama-abuja-4PADW
6PUHJ,Newly Built 4 Bedroom Detached Duplex With Bq,550000000.0,"₦ 550,000,000",5.0,5.0,House,Mayrose Park Estate Vgc Lekki Lagos,Mayrose Park Estate Vgc,Lekki,Lagos,Innerowrkings investments,Cctv Cameras; 24 Hours Security; Security,26 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-mayrose-park-estate-vgc-lekki-lagos-6PUHJ
9PJWM,5 Bedroom Duplex,450000000.0,"₦ 450,000,000",5.0,5.0,House,Vgc Lekki Lagos,Vgc,Lekki,Lagos,PECONS REALTORS,,04 Apr 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-vgc-lekki-lagos-9PJWM
8PPXH,3 Bedroom Apartment,230000000.0,"₦ 230,000,000",3.0,3.0,Flat Apartment,"Halcon Court, Adeniyi Jones Ikeja Lagos","Halcon Court, Adeniyi Jones",Ikeja,Lagos,PMNG Acquisitions,Governor's Consent; Gym; 24 Hours Security,19 May 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-halcon-court-adeniyi-jones-ikeja-lagos-8PPXH
1PGTR,4 Bedroom Duplex With Bq,250000000.0,"₦ 250,000,000",4.0,4.0,House,Alalubosa Gra Jericho Ibadan Oyo,Alalubosa Gra Jericho,Ibadan,Oyo,PECONS REALTORS,,16 Mar 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-alalubosa-gra-jericho-ibadan-oyo-1PGTR
0PTXX,Luxury 4 Bedroom Detached Duplex With Bq,475000000.0,"₦ 475,000,000",4.0,4.0,House,Alaka Estate Surulere Lagos,Alaka Estate,Surulere,Lagos,Innerowrkings investments,Big Compound; 24 Hours Security; Security,22 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-alaka-estate-surulere-lagos-0PTXX
5PPYP,Serviced 3 Bedroom Flat,120000000.0,"₦ 120,000,000",3.0,3.0,Flat Apartment,Sangotedo Lagos,Sangotedo,Lagos,Lagos,FRANK’s Villa,,20 May 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-sangotedo-lagos-5PPYP
8PRQE,3 Bedroom Flat With Bq For Sale In Banana Island,950000000.0,"₦ 950,000,000",3.0,3.0,Flat Apartment,Banana Island Ikoyi Lagos,Banana Island,Ikoyi,Lagos,FRANK’s Villa,,03 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-banana-island-ikoyi-lagos-8PRQE
7NNMF,Orange Mall,84000000.0,"₦ 84,000,000",,,Commercial Property,Katampe Main Abuja,Katampe,Main,Abuja,Besproperties,Only on PropertyPro,16 Sep 2025,https://www.propertypro.ng/property/commercial-property-for-sale-katampe-main-abuja-7NNMF
8PGYE,3 Bedroom Duplex,375000000.0,"₦ 375,000,000",3.0,3.0,House,Samonda Ibadan Oyo,Samonda,Ibadan,Oyo,PECONS REALTORS,,17 Mar 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-samonda-ibadan-oyo-8PGYE
0PMPN,Off Plan: 4 Bedroom Terraced Duplex With Bq,420000000.0,"₦ 420,000,000",4.0,4.0,House,Adeniyi Jones Ikeja Lagos,Adeniyi Jones,Ikeja,Lagos,PMNG Acquisitions,,29 Apr 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-0PMPN
